"ZaporednaStevilkaPN"	"DatumPN"	"VNaselju"	"VremenskeOkoliscine"	"Starost"	"Spol"	"VrednostAlkotesta"
4679	2020-05-12 19:00:00	"DA"	"OBLAÈNO"	32	"MOŠKI"	0
1092	2020-01-28 00:00:00	"DA"	"OBLAÈNO"	34	"MOŠKI"	0,75
1152	2020-01-21 07:00:00	"DA"	"OBLAÈNO"	58	"ŽENSKI"	0
1007	2020-01-24 14:00:00	"DA"	"JASNO"	21	"MOŠKI"	0
9888	2020-08-28 07:00:00	"NE"	"JASNO"	48	"MOŠKI"	0
7650	2020-07-09 10:00:00	"DA"	"JASNO"	85	"MOŠKI"	0
3757	2020-04-07 16:00:00	"DA"	"JASNO"	64	"MOŠKI"	0,63
4484	2020-05-09 19:00:00	"NE"	"JASNO"	24	"MOŠKI"	0,69
3803	2020-04-09 12:00:00	"DA"	"JASNO"	18	"MOŠKI"	0
7952	2020-07-25 12:00:00	"NE"	"DEŽEVNO"	69	"MOŠKI"	0
2508	2020-02-26 11:00:00	"NE"	"SNEG"	40	"MOŠKI"	0
7395	2020-07-10 10:00:00	"DA"	"JASNO"	33	"ŽENSKI"	0
7413	2020-07-13 14:00:00	"DA"	"JASNO"	17	"MOŠKI"	0
9064	2020-08-13 21:00:00	"DA"	"DEŽEVNO"	19	"MOŠKI"	0
9652	2020-08-27 21:00:00	"NE"	"JASNO"	56	"ŽENSKI"	0,91
6514	2020-06-24 15:00:00	"DA"	"JASNO"	38	"MOŠKI"	0
3449	2020-03-21 16:00:00	"NE"	"OBLAÈNO"	63	"MOŠKI"	0
4322	2020-02-26 04:00:00	"DA"	"NEZNANO"	53	"MOŠKI"	0
6558	2020-06-24 20:00:00	"DA"	"JASNO"	27	"ŽENSKI"	0
7655	2020-07-17 13:00:00	"NE"	"JASNO"	25	"MOŠKI"	0
8964	2020-08-11 11:00:00	"NE"	"JASNO"	33	"MOŠKI"	0
6268	2020-06-21 08:00:00	"DA"	"DEŽEVNO"	18	"MOŠKI"	0,45
4368	2020-05-05 21:00:00	"NE"	"OBLAÈNO"	36	"ŽENSKI"	0
9604	2020-08-26 18:00:00	"NE"	"JASNO"	39	"ŽENSKI"	0
9557	2020-08-25 19:00:00	"DA"	"JASNO"	41	"ŽENSKI"	0
4438	2020-04-20 06:00:00	"DA"	"OBLAÈNO"	20	"ŽENSKI"	0
875	2020-01-22 11:00:00	"NE"	"JASNO"	19	"ŽENSKI"	0
447	2020-01-12 16:00:00	"NE"	"JASNO"	83	"ŽENSKI"	0
7291	2020-06-30 12:00:00	"DA"	"JASNO"	45	"MOŠKI"	0
6175	2020-06-17 09:00:00	"DA"	"JASNO"	54	"MOŠKI"	0
2093	2020-02-18 12:00:00	"DA"	"JASNO"	62	"ŽENSKI"	0
5658	2020-06-04 18:00:00	"DA"	"DEŽEVNO"	61	"ŽENSKI"	0
7635	2020-07-18 05:00:00	"NE"	"JASNO"	23	"MOŠKI"	0
8359	2020-07-27 17:00:00	"DA"	"JASNO"	22	"MOŠKI"	0
2092	2020-02-13 11:00:00	"DA"	"JASNO"	58	"ŽENSKI"	0
8367	2020-07-31 22:00:00	"DA"	"JASNO"	28	"MOŠKI"	0,74
8630	2020-07-04 12:00:00	"NE"	"JASNO"	46	"MOŠKI"	0
5674	2020-06-03 18:00:00	"DA"	"JASNO"	36	"ŽENSKI"	0
5856	2020-06-10 15:00:00	"DA"	"JASNO"	30	"ŽENSKI"	0
8072	2020-07-24 16:00:00	"NE"	"OBLAÈNO"	36	"MOŠKI"	0
2554	2020-02-25 13:00:00	"DA"	"OBLAÈNO"	23	"MOŠKI"	0
9661	2020-08-17 20:00:00	"DA"	"JASNO"	68	"ŽENSKI"	0
9475	2020-08-24 07:00:00	"NE"	"OBLAÈNO"	66	"MOŠKI"	0
7233	2020-07-10 19:00:00	"DA"	"JASNO"	28	"MOŠKI"	0,75
6344	2020-06-09 10:00:00	"DA"	"DEŽEVNO"	67	"ŽENSKI"	0
2607	2020-03-01 21:00:00	"NE"	"DEŽEVNO"	32	"ŽENSKI"	0,85
